id,time,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15
0,0:00,-180.0,-20.0,280.0,280.0,260.0,220.0,80.0,100.0,20.0,20.0,180.0,20.0,-240.0,100.0,120.0
1,1:00,-160.0,60.0,100.0,-100.0,-260.0,240.0,-140.0,80.0,240.0,220.0,140.0,200.0,240.0,-240.0,180.0
2,2:00,-200.0,40.0,-280.0,160.0,-40.0,20.0,20.0,0.0,140.0,-140.0,-140.0,-40.0,180.0,40.0,260.0
3,3:00,300.0,-260.0,-80.0,0.0,-260.0,220.0,-240.0,0.0,-160.0,220.0,-20.0,0.0,-220.0,220.0,-80.0
4,4:00,180.0,200.0,-300.0,-40.0,40.0,-240.0,120.0,120.0,80.0,80.0,-140.0,80.0,140.0,-260.0,-180.0
5,5:00,-280.0,-260.0,-60.0,-140.0,140.0,-40.0,280.0,180.0,100.0,-60.0,-240.0,-60.0,-200.0,-160.0,-160.0
6,6:00,-239.60000000000002,161.6,-78.4,-18.400000000000002,61.6,-77.8,-257.6,-37.599999999999994,-98.4,-78.2,261.8,-138.8,-77.8,-99.2,-258.8
7,7:00,304.40000000000003,265.59999999999997,284.6,-295.59999999999997,-193.79999999999998,-174.8,104.39999999999999,-214.0,-195.39999999999998,-15.4,-94.0,164.60000000000002,-15.2,245.6,-234.8
8,8:00,-112.4,-291.8,7.800000000000001,49.39999999999999,228.6,268.2,228.79999999999998,268.6,48.0,168.6,-111.0,127.8,-151.2,-171.20000000000002,-51.4
9,9:00,-29.6,-228.6,-88.79999999999998,-167.8,71.6,-267.6,-287.8,171.8,112.4,-9.2,171.20000000000002,291.0,-108.4,-268.6,-289.40000000000003
10,10:00,32.800000000000004,294.8,-247.2,-86.8,-167.0,234.4,114.2,-46.0,154.0,-105.60000000000001,93.79999999999998,-107.2,-46.0,34.6,-245.39999999999998
11,11:00,154.2,176.0,-64.6,-23.799999999999997,15.0,-244.8,-124.0,215.79999999999998,-184.20000000000002,175.39999999999998,296.0,35.6,-64.6,-244.8,315.0
12,12:00,174.8,36.8,-264.20000000000005,-123.6,176.8,35.0,-163.79999999999998,75.60000000000001,-3.400000000000001,155.39999999999998,-263.2,-144.4,176.0,-5.0,-4.6
13,13:00,134.60000000000002,15.600000000000001,255.39999999999998,-124.39999999999999,-25.2,55.0,94.80000000000001,56.4,-264.8,-63.8,136.6,-64.6,-204.60000000000002,174.60000000000002,15.2
14,14:00,-186.6,-165.39999999999998,294.0,-85.19999999999999,54.2,-265.79999999999995,-25.8,313.6,115.19999999999999,94.39999999999999,-105.60000000000001,-246.0,114.39999999999999,54.0,193.4
15,15:00,-208.79999999999998,-188.2,-148.2,-167.0,32.0,312.2,92.6,-227.0,291.8,231.6,52.199999999999996,131.8,192.8,112.2,12.8
16,16:00,-111.4,-10.4,49.0,-150.39999999999998,-149.8,-131.0,-70.19999999999999,-110.19999999999999,149.4,-210.79999999999998,49.6,-251.20000000000002,89.2,-230.6,188.79999999999998
17,17:00,-134.8,246.8,46.4,305.4,47.199999999999996,207.0,-134.4,66.0,-253.0,306.6,-33.4,-133.6,65.19999999999999,-54.6,-34.4
18,18:00,-198.4,202.0,-156.8,-236.8,-197.0,82.8,303.4,-136.4,-78.2,63.0,142.20000000000002,242.8,-137.4,303.6,-97.0
19,19:00,-260.0,40.0,-300.0,280.0,40.0,-120.0,-220.0,-100.0,160.0,-260.0,0.0,160.0,-260.0,120.0,60.0
20,20:00,-200.0,0.0,-200.0,100.0,200.0,-60.0,-120.0,-240.0,-160.0,-140.0,-140.0,-180.0,120.0,-40.0,-120.0
21,21:00,200.0,-200.0,220.0,-180.0,20.0,-160.0,160.0,40.0,-260.0,-200.0,80.0,-120.0,140.0,-220.0,60.0
22,22:00,0.0,-280.0,180.0,220.0,-200.0,-100.0,260.0,-20.0,220.0,280.0,-200.0,260.0,-180.0,160.0,300.0
23,23:00,-60.0,-220.0,-20.0,280.0,40.0,-140.0,120.0,60.0,-40.0,-100.0,-200.0,-200.0,100.0,100.0,-300.0
