id,time,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15
0,0:00,45,76,90,105,115,99,92,110,91,89,110,82,137,94,114
1,1:00,29,64,74,82,104,99,100,99,101,91,102,79,112,106,89
2,2:00,38,62,83,95,94,92,100,88,82,101,79,100,118,82,85
3,3:00,33,37,70,92,76,109,82,100,97,101,103,89,116,81,107
4,4:00,32,41,63,88,88,100,105,106,94,97,93,100,121,82,91
5,5:00,46,45,64,83,82,99,78,99,104,76,100,91,129,88,103
6,6:00,22,45,56,82,93,96,86,87,95,93,100,87,122,89,116
7,7:00,50,63,92,117,110,105,117,92,117,107,102,117,147,130,109
8,8:00,65,96,124,148,137,146,132,126,122,134,135,122,140,132,150
9,9:00,59,101,134,157,160,156,174,129,144,140,132,137,158,160,163
10,10:00,76,109,126,176,180,176,155,136,155,158,147,145,136,157,172
11,11:00,69,112,140,164,167,187,170,153,163,140,144,154,151,164,167
12,12:00,62,102,143,162,164,177,167,156,151,152,141,134,124,142,171
13,13:00,72,120,151,174,190,173,184,169,153,139,167,166,153,148,158
14,14:00,64,121,136,184,173,171,190,165,149,161,142,145,143,179,167
15,15:00,70,124,149,183,174,177,161,156,170,158,139,159,138,177,161
16,16:00,64,107,157,158,165,160,173,165,169,159,135,149,135,150,167
17,17:00,62,88,145,167,160,149,163,156,137,134,151,160,159,166,167
18,18:00,71,111,134,145,149,165,155,128,141,157,151,134,159,139,135
19,19:00,58,84,122,157,160,170,158,145,144,141,129,140,142,161,140
20,20:00,44,78,113,149,137,157,161,140,136,140,135,120,149,134,149
21,21:00,56,82,98,116,139,143,144,123,120,124,119,127,134,126,118
22,22:00,61,84,114,133,146,142,147,111,129,113,124,113,139,136,126
23,23:00,44,57,85,99,123,135,125,116,107,124,111,108,132,126,125
