id,time,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15
0,0:00,27,75,67,107,111,121,113,110,112,89,94,94,130,93,100
1,1:00,25,46,64,77,100,102,102,83,83,90,97,83,125,95,105
2,2:00,28,69,80,87,100,92,91,107,87,84,92,90,118,88,92
3,3:00,25,63,73,88,81,97,80,79,108,107,97,89,114,88,86
4,4:00,27,62,72,67,78,89,81,81,101,107,97,88,108,84,99
5,5:00,18,53,79,85,76,78,92,104,91,80,93,76,110,105,90
6,6:00,23,64,63,97,102,91,102,86,89,110,101,83,131,98,86
7,7:00,39,59,96,98,114,129,121,95,117,110,113,100,138,120,102
8,8:00,55,79,101,129,148,136,133,113,132,121,117,139,148,135,129
9,9:00,65,87,127,151,173,173,159,135,144,139,154,145,144,146,159
10,10:00,77,108,135,154,185,166,162,144,154,153,162,157,157,144,162
11,11:00,60,121,152,169,171,164,158,155,168,136,136,161,135,166,166
12,12:00,55,88,117,155,175,175,165,142,167,143,148,148,135,150,169
13,13:00,60,119,154,182,189,178,185,167,144,151,168,153,135,154,166
14,14:00,69,102,138,176,197,163,191,143,154,146,153,150,133,162,166
15,15:00,74,96,132,170,195,163,190,167,169,140,140,146,148,153,152
16,16:00,64,123,146,156,168,183,165,169,163,143,148,150,133,171,151
17,17:00,49,111,132,164,184,177,155,147,148,151,135,134,147,166,159
18,18:00,45,88,114,163,158,168,151,153,159,143,150,151,141,154,132
19,19:00,61,87,111,147,158,151,158,155,136,132,126,140,160,156,146
20,20:00,59,98,99,123,144,158,151,131,140,135,125,121,147,130,121
21,21:00,68,67,106,126,151,129,140,137,134,129,130,134,155,139,131
22,22:00,51,85,109,120,147,116,125,118,111,124,108,126,137,130,130
23,23:00,36,74,100,118,110,137,122,111,125,100,119,104,135,109,103
