id,time,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15
0,0:00,50,60,94,86,99,121,96,106,105,93,98,92,108,108,98
1,1:00,21,54,69,90,93,106,90,111,101,99,105,80,122,111,103
2,2:00,30,51,75,81,82,97,88,95,106,84,87,85,108,96,101
3,3:00,39,37,58,72,87,103,87,92,93,102,100,87,123,87,83
4,4:00,45,37,61,73,93,87,105,86,80,100,104,88,119,99,98
5,5:00,31,58,62,84,90,97,99,98,89,85,91,74,135,90,106
6,6:00,39,50,84,72,87,110,97,110,95,85,87,83,123,96,104
7,7:00,35,60,72,105,129,110,110,107,102,105,116,97,140,104,108
8,8:00,65,87,119,127,134,149,145,118,139,115,136,127,161,127,134
9,9:00,59,103,127,145,162,175,168,129,144,129,141,129,162,145,161
10,10:00,81,112,137,176,169,156,168,155,151,135,146,135,143,150,146
11,11:00,67,123,147,168,182,172,164,165,147,149,144,148,156,146,166
12,12:00,74,115,141,160,188,161,172,159,146,142,160,144,144,168,158
13,13:00,70,118,149,176,183,173,168,140,143,151,158,164,153,153,154
14,14:00,58,108,151,181,184,186,168,148,173,167,147,161,149,170,169
15,15:00,61,120,152,178,186,181,163,170,173,149,159,161,150,162,159
16,16:00,69,118,129,177,176,162,170,161,154,165,164,166,143,161,148
17,17:00,71,100,143,144,166,153,173,138,146,146,142,138,157,170,161
18,18:00,44,110,113,138,155,158,162,150,149,147,125,149,158,151,142
19,19:00,72,90,121,136,148,170,172,151,158,134,151,127,153,135,137
20,20:00,53,82,112,139,141,150,165,143,146,125,115,145,142,150,145
21,21:00,68,93,94,123,147,134,136,143,141,136,134,108,129,129,126
22,22:00,44,73,96,120,125,117,121,127,141,108,104,117,137,113,105
23,23:00,47,75,79,96,124,135,113,123,111,104,101,112,118,120,100
