id,time,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15
0,0:00,30,79,86,84,106,116,88,107,120,98,98,112,122,97,111
1,1:00,25,49,70,88,101,89,89,103,92,78,110,89,104,94,84
2,2:00,34,39,83,96,99,102,107,89,89,94,91,76,119,110,98
3,3:00,37,47,77,84,87,106,89,94,105,79,100,76,123,81,84
4,4:00,25,58,52,70,78,94,78,100,92,84,99,75,117,90,109
5,5:00,33,42,56,70,82,87,79,81,84,90,80,92,115,103,107
6,6:00,43,65,77,98,103,88,108,97,86,89,91,103,143,109,95
7,7:00,53,53,73,100,118,107,113,106,98,112,104,93,150,102,102
8,8:00,73,86,109,138,148,136,134,133,117,137,135,120,146,147,129
9,9:00,53,90,121,156,166,151,155,154,156,135,141,156,156,162,145
10,10:00,58,94,151,164,168,170,164,139,158,142,153,164,162,167,151
11,11:00,63,96,130,182,190,165,180,147,146,141,145,168,151,158,173
12,12:00,56,111,123,160,180,162,183,138,153,144,142,139,137,167,159
13,13:00,78,118,134,176,168,179,176,146,163,142,145,162,126,159,168
14,14:00,67,106,159,175,170,170,169,148,159,141,147,153,137,165,160
15,15:00,61,113,137,157,168,167,190,166,150,145,152,141,148,173,177
16,16:00,62,105,130,151,177,169,185,150,162,146,157,164,151,155,177
17,17:00,60,104,132,154,183,166,155,152,164,149,139,138,144,145,152
18,18:00,46,84,127,144,155,145,167,136,135,139,140,138,147,156,136
19,19:00,63,82,112,140,169,162,157,131,143,149,148,153,163,138,129
20,20:00,60,98,111,137,156,159,151,120,125,145,121,141,157,136,132
21,21:00,43,76,96,120,154,131,135,128,147,132,127,133,129,121,132
22,22:00,55,67,102,133,126,123,138,131,114,117,108,130,120,123,135
23,23:00,36,78,96,98,120,108,133,98,116,111,96,106,116,100,121
