id,time,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15
0,0:00,55,73,88,111,94,123,104,101,109,104,92,83,131,110,95
1,1:00,34,49,81,79,94,115,104,87,83,97,108,102,110,107,108
2,2:00,47,62,65,88,85,87,78,97,83,83,83,83,131,82,105
3,3:00,48,43,78,87,93,109,98,85,82,80,83,78,132,105,94
4,4:00,39,61,54,66,81,102,87,102,107,99,90,88,130,108,107
5,5:00,33,41,52,64,85,100,93,80,80,101,107,89,126,84,105
6,6:00,36,44,76,100,85,90,115,96,102,107,112,100,141,99,90
7,7:00,29,61,87,117,106,126,129,101,102,122,117,117,132,112,102
8,8:00,55,97,114,130,135,135,152,114,130,110,121,127,155,130,128
9,9:00,56,85,144,141,152,147,155,153,134,153,131,131,154,156,162
10,10:00,79,117,122,174,166,182,174,134,153,150,157,159,143,160,153
11,11:00,77,110,137,155,176,175,185,164,149,163,143,141,131,154,173
12,12:00,55,86,129,159,182,156,162,150,150,145,160,147,132,156,160
13,13:00,76,95,138,184,192,187,175,147,155,141,146,141,138,169,162
14,14:00,87,118,149,167,171,176,184,154,156,143,155,169,155,161,179
15,15:00,80,104,150,167,177,184,165,142,162,160,150,153,147,172,165
16,16:00,78,103,156,171,189,182,188,168,144,146,165,164,155,159,157
17,17:00,75,103,125,140,158,156,164,148,158,150,141,160,149,150,163
18,18:00,62,109,116,134,169,154,155,157,142,139,154,139,154,158,152
19,19:00,47,84,115,146,157,144,170,150,161,154,135,147,146,150,143
20,20:00,52,74,105,136,146,161,160,136,125,141,137,128,146,131,128
21,21:00,40,82,95,134,139,128,131,117,119,113,118,124,149,115,131
22,22:00,62,63,90,106,143,122,119,117,128,107,108,109,135,127,118
23,23:00,57,65,76,103,108,118,136,116,121,121,99,114,138,102,100
