id,time,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15
0,0:00,48,67,81,111,107,102,97,109,120,85,112,112,131,115,93
1,1:00,35,53,77,87,103,116,85,83,92,87,101,98,118,109,93
2,2:00,31,61,59,75,91,108,78,88,82,77,80,96,132,102,97
3,3:00,24,65,66,89,81,87,93,88,88,92,90,100,129,106,107
4,4:00,20,60,64,82,88,95,91,87,85,77,84,86,117,98,84
5,5:00,31,42,50,74,86,95,82,84,85,87,79,79,134,88,105
6,6:00,36,52,79,82,109,88,114,108,105,98,95,82,141,100,103
7,7:00,42,62,97,106,132,101,107,117,102,104,94,110,154,108,102
8,8:00,69,75,109,123,156,148,138,115,131,123,127,123,158,134,135
9,9:00,70,90,137,158,154,161,156,156,131,129,149,145,161,138,160
10,10:00,82,107,131,172,165,176,183,144,155,160,150,143,134,154,173
11,11:00,72,114,135,158,191,165,172,167,157,140,165,157,146,145,173
12,12:00,54,94,126,162,167,157,178,152,166,146,155,156,142,168,151
13,13:00,70,106,147,181,192,192,185,163,158,139,144,155,148,168,153
14,14:00,82,99,156,181,174,164,172,171,151,142,150,159,132,167,160
15,15:00,86,123,139,184,182,177,166,159,154,145,166,168,127,153,148
16,16:00,64,104,139,158,185,186,160,151,157,166,164,152,151,167,168
17,17:00,52,87,139,159,174,152,152,161,151,144,155,150,157,162,148
18,18:00,51,99,141,162,152,165,165,146,164,154,149,131,154,155,157
19,19:00,67,80,121,151,150,165,156,151,132,142,143,129,153,138,140
20,20:00,52,102,109,142,149,150,138,138,136,139,140,136,147,141,133
21,21:00,42,80,96,134,135,147,133,125,139,125,115,107,152,126,113
22,22:00,42,78,112,117,138,119,128,106,122,115,110,112,148,135,126
23,23:00,41,81,77,101,121,109,137,110,113,127,100,118,141,104,113
