id,time,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15
0,0:00,36,66,82,82,121,98,115,112,94,96,93,91,116,90,97
1,1:00,35,51,62,95,86,103,84,103,111,89,102,92,118,83,106
2,2:00,34,45,62,69,86,97,81,85,99,84,94,76,118,81,105
3,3:00,33,63,64,84,85,86,88,91,93,94,84,74,125,91,97
4,4:00,32,51,76,85,79,82,93,97,110,79,104,97,132,99,95
5,5:00,41,42,58,75,91,106,85,81,102,85,103,97,110,103,87
6,6:00,50,68,57,96,112,101,92,90,90,108,112,109,145,113,95
7,7:00,55,77,85,93,128,121,114,116,101,118,94,94,142,112,126
8,8:00,65,74,116,130,155,153,146,116,121,123,117,119,160,121,123
9,9:00,61,92,145,159,159,162,172,134,143,129,142,129,156,160,158
10,10:00,66,93,138,161,177,177,181,134,161,161,155,144,161,153,162
11,11:00,71,96,127,172,185,179,159,147,169,143,155,158,158,174,177
12,12:00,63,99,125,171,161,178,173,140,151,130,158,159,148,162,168
13,13:00,66,115,143,180,187,172,189,155,162,151,159,140,128,152,154
14,14:00,77,123,134,180,193,169,169,165,168,143,168,149,129,175,158
15,15:00,71,97,141,182,191,176,170,169,153,141,151,147,155,149,165
16,16:00,59,119,147,160,191,180,185,145,150,140,143,139,151,169,166
17,17:00,74,97,125,149,173,154,159,151,157,156,157,136,142,157,168
18,18:00,53,82,114,136,164,164,179,144,136,144,136,155,144,147,149
19,19:00,49,85,135,154,160,157,153,131,147,144,144,127,156,139,142
20,20:00,59,96,114,132,163,133,157,142,139,149,118,143,151,140,130
21,21:00,61,84,94,114,133,126,141,128,145,140,109,118,147,133,139
22,22:00,56,62,89,116,119,143,120,132,133,132,105,115,138,135,132
23,23:00,38,72,78,118,113,134,131,106,117,123,109,108,144,124,107
