id,time,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15
0,0:00,45,56,89,81,95,105,88,106,116,93,92,86,108,112,94
1,1:00,31,53,84,97,116,99,84,86,87,82,84,80,104,100,88
2,2:00,36,47,78,67,96,91,101,104,92,87,107,80,129,83,97
3,3:00,44,37,68,69,82,91,107,93,105,78,97,75,126,85,99
4,4:00,46,40,61,83,91,88,86,83,90,81,101,98,110,84,105
5,5:00,30,56,64,73,99,105,98,96,84,101,106,95,127,91,101
6,6:00,36,49,73,77,91,106,87,110,94,81,90,105,123,113,107
7,7:00,35,63,90,89,121,119,115,112,96,118,108,94,138,100,110
8,8:00,63,85,117,123,153,136,152,120,126,112,114,120,157,125,144
9,9:00,74,85,134,154,161,167,150,148,133,129,153,130,143,164,145
10,10:00,63,95,140,152,169,167,155,140,142,145,150,149,146,140,166
11,11:00,62,110,136,163,168,175,188,160,150,156,136,165,153,161,177
12,12:00,53,91,119,158,171,180,181,147,142,152,163,163,148,153,163
13,13:00,60,106,144,176,189,174,190,159,152,136,142,160,145,170,149
14,14:00,65,101,140,168,197,180,169,163,152,150,160,157,138,171,156
15,15:00,70,110,143,167,169,165,190,155,151,156,154,154,148,176,163
16,16:00,55,103,131,181,189,188,187,164,156,163,155,146,140,163,147
17,17:00,51,91,145,138,158,154,157,156,151,159,150,160,169,172,148
18,18:00,61,97,132,133,172,146,153,138,142,147,146,152,155,138,135
19,19:00,68,89,107,135,174,147,157,148,142,147,141,152,137,139,130
20,20:00,42,85,110,128,152,158,143,122,153,119,140,115,154,135,143
21,21:00,49,83,116,126,138,130,146,129,124,123,120,120,134,140,119
22,22:00,48,88,105,105,141,136,146,123,130,112,127,100,140,119,124
23,23:00,43,58,77,123,130,112,126,124,124,120,112,95,139,99,112
