id,time,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15
0,0:00,36,64,93,84,96,98,102,112,90,100,105,85,136,112,107
1,1:00,27,49,68,81,90,105,97,84,94,91,95,93,119,113,87
2,2:00,28,62,72,71,108,90,105,88,101,106,107,93,114,102,109
3,3:00,47,59,57,75,87,82,87,85,102,93,98,104,117,82,109
4,4:00,28,60,77,70,83,104,91,95,92,93,93,86,116,109,102
5,5:00,46,56,62,92,75,89,107,89,92,95,107,83,120,110,88
6,6:00,43,41,70,100,99,109,100,83,94,86,84,109,141,116,110
7,7:00,47,73,82,114,127,117,102,112,103,122,104,120,157,125,103
8,8:00,67,73,112,143,154,140,137,136,116,133,134,120,149,120,130
9,9:00,70,86,120,143,173,174,151,127,148,138,144,132,141,139,167
10,10:00,73,106,149,171,187,169,155,146,141,150,156,146,143,141,170
11,11:00,61,115,140,157,168,174,182,143,160,155,157,144,158,149,157
12,12:00,63,99,130,147,181,179,175,150,143,145,157,143,128,167,163
13,13:00,85,118,140,172,196,165,189,170,162,138,151,153,140,165,152
14,14:00,72,105,134,185,171,181,180,154,150,143,160,148,132,170,171
15,15:00,85,104,139,159,165,187,168,150,145,149,167,155,128,172,150
16,16:00,70,99,127,174,181,187,180,166,172,152,140,165,132,169,151
17,17:00,76,107,138,148,171,177,162,143,138,150,136,139,165,151,158
18,18:00,50,104,140,149,161,145,152,139,161,133,128,144,165,147,154
19,19:00,72,103,131,139,164,149,162,153,140,140,123,131,153,138,138
20,20:00,71,102,106,138,155,141,159,135,126,149,128,118,159,150,130
21,21:00,44,73,106,139,147,124,156,124,137,127,125,133,129,138,116
22,22:00,62,70,99,132,126,137,130,117,136,111,104,120,142,109,120
23,23:00,59,64,97,116,108,121,121,126,124,119,101,96,130,100,119
