id,time,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15
0,0:00,27,59,95,85,94,101,113,88,117,106,109,106,113,102,110
1,1:00,25,47,85,85,88,118,95,83,91,96,87,104,127,86,86
2,2:00,40,64,76,74,81,112,104,79,95,103,92,78,127,102,106
3,3:00,28,44,72,90,105,81,83,83,85,84,79,100,118,96,102
4,4:00,23,49,52,71,89,98,94,81,102,88,107,94,128,102,88
5,5:00,35,62,56,92,97,97,86,87,86,97,90,78,131,91,108
6,6:00,37,62,86,96,110,105,98,86,85,84,95,87,142,114,100
7,7:00,41,66,96,106,105,120,104,114,95,102,122,101,132,122,106
8,8:00,58,89,107,142,147,135,131,112,131,121,117,111,152,134,139
9,9:00,78,114,143,161,153,151,153,155,160,139,125,148,143,140,153
10,10:00,56,120,139,160,189,176,158,136,148,157,145,139,151,142,149
11,11:00,82,97,153,154,190,174,170,158,165,152,153,138,137,167,176
12,12:00,61,101,135,145,180,184,166,157,166,140,152,141,143,162,144
13,13:00,61,94,129,168,184,185,161,157,158,156,167,144,149,171,176
14,14:00,88,123,143,181,187,178,176,163,167,148,157,150,152,165,157
15,15:00,73,106,128,174,180,165,161,159,162,150,164,144,150,158,149
16,16:00,81,109,141,174,187,179,170,161,144,152,158,139,156,160,155
17,17:00,72,96,133,140,164,154,167,141,148,156,131,153,164,163,147
18,18:00,69,105,118,147,173,172,173,154,150,157,134,146,151,149,152
19,19:00,65,103,136,155,158,166,146,132,151,146,136,140,149,161,146
20,20:00,63,87,104,134,140,142,146,129,132,122,118,121,144,135,136
21,21:00,64,89,114,139,134,136,139,130,139,142,135,122,151,132,138
22,22:00,62,71,101,114,133,121,130,116,115,131,132,115,144,131,108
23,23:00,44,62,103,105,109,109,124,104,121,115,105,115,123,113,99
